,State,County,Covid Deaths
0,Virginia,Loudoun,66
1,Maryland,Howard,61
2,Virginia,Fairfax,387
3,New Jersey,Hunterdon,60
4,California,Santa Clara,141
5,Virginia,Arlington,116
6,Colorado,Douglas,45
7,California,San Mateo,84
8,New Jersey,Morris,616
9,Tennessee,Williamson,10
10,New York,Nassau,2125
11,New Jersey,Somerset,419
12,California,Marin,14
13,California,San Francisco,43
14,Ohio,Delaware,13
15,Georgia,Forsyth,12
16,Maryland,Montgomery,616
17,Maryland,Calvert,18
18,Virginia,Prince William,104
19,Virginia,Stafford,5
20,New York,Putnam,60
21,Maryland,Anne Arundel,175
22,Maryland,Charles,73
23,Texas,Rockwall,13
24,Massachusetts,Middlesex,1650
