,State,County,Population
0,Mississippi,Issaquena County,1327
1,Colorado,Crowley County,6061
2,Georgia,Wheeler County,7855
3,Texas,Concho County,2726
4,South Dakota,Ziebach County,2756
5,Georgia,Telfair County,15860
6,Florida,Union County,15237
7,Kentucky,Elliott County,7517
8,Georgia,Stewart County,6621
9,Pennsylvania,Forest County,7247
10,Tennessee,Lake County,7016
11,South Dakota,Buffalo County,1962
12,Florida,Liberty County,8354
13,Florida,DeSoto County,38001
14,Florida,Lafayette County,8422
15,Florida,Glades County,13811
16,Georgia,Calhoun County,6189
17,Georgia,Charlton County,13392
18,South Dakota,Oglala Lakota County,14177
19,South Dakota,Todd County,10177
20,Kentucky,McCreary County,17231
21,Florida,Hamilton County,14428
22,Georgia,Johnson County,9643
23,Tennessee,Bledsoe County,15064
24,Texas,Starr County,64633
25,Oklahoma,Greer County,5712
26,Idaho,Madison County,39907
27,Texas,Hidalgo County,868707
28,Utah,San Juan County,15308
29,Georgia,Wilcox County,8635
30,Kentucky,Morgan County,13309
31,South Dakota,Jackson County,3344
32,Florida,Calhoun County,14105
33,Arkansas,Lincoln County,13024
34,Tennessee,Hancock County,6620
35,Georgia,Long County,19559
36,Mississippi,Quitman County,6792
37,Ohio,Noble County,14424
38,Mississippi,Yazoo County,29690
39,Georgia,Brantley County,19109
40,Texas,Frio County,20306
41,Georgia,Lanier County,10423
42,Colorado,Bent County,5577
43,Arkansas,Lee County,8857
44,North Dakota,Sioux County,4230
45,South Carolina,Dillon County,30479
46,Mississippi,Tallahatchie County,13809
47,New Mexico,McKinley County,71367
48,Missouri,Hickory County,9544
49,West Virginia,Webster County,8114
